timestamp,version,batch_id,experiment_id,test_case_id,scenario,run_id,lifecycle_phase,total_requests,request_interval_seconds,configured_requests_per_second,achieved_requests_per_second,workload_duration_seconds,workload_level,successful_requests,failed_requests,cloud_success,edge_success,failover_enabled,expected_cloud_status,expected_edge_status,failover_transition_count,observed_failover_recovery_seconds,cloud_failure_detection_seconds,mean_total_request_latency_seconds,p95_total_request_latency_seconds,availability_percent,recovery_scope_records,rpo_related_exposure_records,pending_edge_sync_count,oldest_pending_age_seconds,recovery_completeness_percent,replica_convergence_percent,missing_from_cloud_count,duplicate_client_order_ids,pre_recovery_rpo_exposure_records,pre_recovery_pending_sync_count,post_recovery_rpo_exposure_records,cloud_record_count,edge_record_count,recovery_sync_time_seconds,records_synced_back_to_cloud,cloud_process_rss_mb,edge_process_rss_mb,cloud_cpu_percent_snapshot,edge_cpu_percent_snapshot,cloud_db_size_bytes,edge_db_size_bytes,lifecycle_transition_count,notes,scenario_display,request_success_rate_percent,edge_share_of_success_percent,configured_achieved_rate_ratio_percent,data_quality_issue
2026-08-22 18:08:45,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T180830806173-run1-23c40b,TC02,cloud_failure_with_stateful_edge_failover,1,single_scenario,30,0.2,5.0,2.134,14.060168,medium,30,0,0,30,True,failed,available,1.0,2.228602,2.014576,0.273034,0.338558,100.0,30,30,30,14.272,0.0,0.0,30,0,30,30,,300,30,,,,45.395,,0.0,159744.0,36864.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,42.67999999999999,
2026-08-22 18:09:01,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T180846502281-run2-0e5068,TC02,cloud_failure_with_stateful_edge_failover,2,single_scenario,30,0.2,5.0,2.22,13.512774,medium,30,0,0,30,True,failed,available,1.0,2.188601,2.007394,0.255347,0.298069,100.0,30,30,30,13.723,0.0,0.0,30,0,30,30,,300,60,,,,41.395,,0.0,159744.0,45056.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,44.400000000000006,
2026-08-22 18:09:16,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T180901658477-run3-df56d9,TC02,cloud_failure_with_stateful_edge_failover,3,single_scenario,30,0.2,5.0,2.261,13.270186,medium,30,0,0,30,True,failed,available,1.0,2.244477,2.00918,0.247134,0.221081,100.0,30,30,30,13.48,0.0,0.0,30,0,30,30,,300,90,,,,45.613,,0.0,159744.0,53248.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,45.220000000000006,
2026-08-22 18:09:31,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T180916537169-run4-75de4d,TC02,cloud_failure_with_stateful_edge_failover,4,single_scenario,30,0.2,5.0,2.245,13.36452,medium,30,0,0,30,True,failed,available,1.0,2.196539,2.001251,0.250306,0.238715,100.0,30,30,30,13.582,0.0,0.0,30,0,30,30,,300,120,,,,50.469,,0.0,159744.0,77824.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,44.9,
2026-08-22 18:09:46,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T180931546429-run5-ec5b60,TC02,cloud_failure_with_stateful_edge_failover,5,single_scenario,30,0.2,5.0,2.23,13.452505,medium,30,0,0,30,True,failed,available,1.0,2.200568,2.011764,0.251394,0.219478,100.0,30,30,30,13.665,0.0,0.0,30,0,30,30,,300,150,,,,42.176,,0.0,159744.0,102400.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,44.6,
2026-08-22 18:10:01,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T180946594257-run6-6b5397,TC02,cloud_failure_with_stateful_edge_failover,6,single_scenario,30,0.2,5.0,2.169,13.830948,medium,30,0,0,30,True,failed,available,1.0,2.208858,2.008411,0.264539,0.233613,100.0,30,30,30,14.044,0.0,0.0,30,0,30,30,,300,180,,,,46.375,,0.0,159744.0,110592.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,43.38,
2026-08-22 18:10:16,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T181002062660-run7-8d051b,TC02,cloud_failure_with_stateful_edge_failover,7,single_scenario,30,0.2,5.0,2.203,13.616884,medium,30,0,0,30,True,failed,available,1.0,2.258201,2.011019,0.257584,0.273982,100.0,30,30,30,13.834,0.0,0.0,30,0,30,30,,300,210,,,,51.133,,0.0,159744.0,126976.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,44.06,
2026-08-22 18:10:31,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T181017310026-run8-35d85e,TC02,cloud_failure_with_stateful_edge_failover,8,single_scenario,30,0.2,5.0,2.233,13.436982,medium,30,0,0,30,True,failed,available,1.0,2.206529,1.996788,0.252458,0.245455,100.0,30,30,30,13.647,0.0,0.0,30,0,30,30,,300,240,,,,43.242,,0.0,159744.0,135168.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,44.66,
2026-08-22 18:10:46,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T181032345961-run9-d687cc,TC02,cloud_failure_with_stateful_edge_failover,9,single_scenario,30,0.2,5.0,2.23,13.451288,medium,30,0,0,30,True,failed,available,1.0,2.192795,2.007173,0.252896,0.224325,100.0,30,30,30,13.665,0.0,0.0,30,0,30,30,,300,270,,,,47.168,,0.0,159744.0,147456.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,44.6,
2026-08-22 18:11:02,4.1,TC02-batch-20260822T180830-a18476,TC02-20260822T181047451168-run10-1de0d5,TC02,cloud_failure_with_stateful_edge_failover,10,single_scenario,30,0.2,5.0,2.088,14.365083,medium,30,0,0,30,True,failed,available,1.0,2.28913,1.996271,0.283153,0.319517,100.0,30,30,30,14.583,0.0,0.0,30,0,30,30,,300,300,,,,51.461,,0.0,159744.0,167936.0,1,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=EDGE_DEGRADED; edge_recovery_scope=30",Cloud Failure + Stateful Edge Failover,100.0,100.0,41.760000000000005,
